HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-01-01 06:00:00;2024-01-01 07:00:00;SE3;186,669998;25,040001
2024-01-01 06:00:00;2024-01-01 07:00:00;NO2;186,669998;25,040001
2024-01-01 06:00:00;2024-01-01 07:00:00;DK2;164,300003;22,040001
2024-01-01 06:00:00;2024-01-01 07:00:00;DK1;-0,150000;-0,020000
2024-01-01 06:00:00;2024-01-01 07:00:00;DE;-0,150000;-0,020000
2024-01-01 07:00:00;2024-01-01 08:00:00;SYSTEM;185,770004;24,920000
2024-01-01 07:00:00;2024-01-01 08:00:00;SE4;195,610001;26,240000
2024-01-01 07:00:00;2024-01-01 08:00:00;SE3;195,610001;26,240000
2024-01-01 07:00:00;2024-01-01 08:00:00;NO2;195,610001;26,240000
2024-01-01 07:00:00;2024-01-01 08:00:00;DK2;189,500000;25,420000
2024-01-01 07:00:00;2024-01-01 08:00:00;DK1;0,000000;0,000000
2024-01-01 07:00:00;2024-01-01 08:00:00;DE;0,000000;0,000000
2024-01-01 08:00:00;2024-01-01 09:00:00;SYSTEM;215,369995;28,889999
2024-01-01 08:00:00;2024-01-01 09:00:00;SE4;240,119995;32,209999
2024-01-01 08:00:00;2024-01-01 09:00:00;SE3;240,119995;32,209999
2024-01-01 08:00:00;2024-01-01 09:00:00;NO2;240,119995;32,209999
2024-01-01 08:00:00;2024-01-01 09:00:00;DK2;240,119995;32,209999
2024-01-01 08:00:00;2024-01-01 09:00:00;DK1;0,600000;0,080000
2024-01-01 08:00:00;2024-01-01 09:00:00;DE;0,300000;0,040000
2024-01-01 09:00:00;2024-01-01 10:00:00;SYSTEM;314,070007;42,130001
2024-01-01 09:00:00;2024-01-01 10:00:00;SE4;308,179993;41,340000
2024-01-01 09:00:00;2024-01-01 10:00:00;SE3;308,179993;41,340000
2024-01-01 09:00:00;2024-01-01 10:00:00;NO2;355,670013;47,709999
2024-01-01 09:00:00;2024-01-01 10:00:00;DK2;308,179993;41,340000
2024-01-01 09:00:00;2024-01-01 10:00:00;DK1;308,179993;41,340000
2024-01-01 09:00:00;2024-01-01 10:00:00;DE;0,450000;0,060000
2024-01-01 10:00:00;2024-01-01 11:00:00;SYSTEM;333,679993;44,759998
2024-01-01 10:00:00;2024-01-01 11:00:00;SE4;324,359985;43,509998
2024-01-01 10:00:00;2024-01-01 11:00:00;SE3;324,359985;43,509998
2024-01-01 10:00:00;2024-01-01 11:00:00;NO2;391,450012;52,509998
2024-01-01 10:00:00;2024-01-01 11:00:00;DK2;324,359985;43,509998
2024-01-01 10:00:00;2024-01-01 11:00:00;DK1;324,359985;43,509998
2024-01-01 10:00:00;2024-01-01 11:00:00;DE;4,030000;0,540000
2024-01-01 11:00:00;2024-01-01 12:00:00;SYSTEM;335,609985;45,020000
2024-01-01 11:00:00;2024-01-01 12:00:00;SE4;320,700012;43,020000
2024-01-01 11:00:00;2024-01-01 12:00:00;SE3;320,700012;43,020000
2024-01-01 11:00:00;2024-01-01 12:00:00;NO2;421,720001;56,570000
2024-01-01 11:00:00;2024-01-01 12:00:00;DK2;320,700012;43,020000
2024-01-01 11:00:00;2024-01-01 12:00:00;DK1;320,700012;43,020000
2024-01-01 11:00:00;2024-01-01 12:00:00;DE;16,700001;2,240000
2024-01-01 12:00:00;2024-01-01 13:00:00;SYSTEM;356,709991;47,849998
2024-01-01 12:00:00;2024-01-01 13:00:00;SE4;330,170013;44,290001
2024-01-01 12:00:00;2024-01-01 13:00:00;SE3;330,170013;44,290001
2024-01-01 12:00:00;2024-01-01 13:00:00;NO2;445,940002;59,820000
2024-01-01 12:00:00;2024-01-01 13:00:00;DK2;330,170013;44,290001
2024-01-01 12:00:00;2024-01-01 13:00:00;DK1;330,170013;44,290001
2024-01-01 12:00:00;2024-01-01 13:00:00;DE;14,610000;1,960000
2024-01-01 13:00:00;2024-01-01 14:00:00;SYSTEM;391,899994;52,570000
